EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
Synthetic Basalt	Rutile	40	Zr	2.8				Experimental	Bennett et al. 2004	Solid-Melt		08-DEC-2008		
Synthetic Basalt	Rutile	41	Nb	28				Experimental	Bennett et al. 2004	Solid-Melt		08-DEC-2008		
Synthetic Basalt	Rutile	73	Ta	36				Experimental	Bennett et al. 2004	Solid-Melt		08-DEC-2008		
Basalt	Rutile	23	V	118				Experimental	Foley et al. 2000	Solid-Melt		12-DEC-2000		
Basalt	Rutile	25	Mn				0.34	Experimental	Foley et al. 2000	Solid-Melt		12-DEC-2000		
Basalt	Rutile	37	Rb	0.0076				Experimental	Foley et al. 2000	Solid-Melt		12-DEC-2000		
Basalt	Rutile	38	Sr	0.036				Experimental	Foley et al. 2000	Solid-Melt		12-DEC-2000		
Basalt	Rutile	39	Y				0.076	Experimental	Foley et al. 2000	Solid-Melt		12-DEC-2000		
Basalt	Rutile	40	Zr	3.07				Experimental	Foley et al. 2000	Solid-Melt		12-DEC-2000		
Basalt	Rutile	41	Nb	136				Experimental	Foley et al. 2000	Solid-Melt		12-DEC-2000		
Basalt	Rutile	56	Ba	0.0137				Experimental	Foley et al. 2000	Solid-Melt		12-DEC-2000		
Basalt	Rutile	58	Ce				0.087	Experimental	Foley et al. 2000	Solid-Melt		12-DEC-2000		
Basalt	Rutile	60	Nd				0.277	Experimental	Foley et al. 2000	Solid-Melt		12-DEC-2000		
Basalt	Rutile	63	Eu	0.00037				Experimental	Foley et al. 2000	Solid-Melt		12-DEC-2000		
Basalt	Rutile	64	Gd				0.0037	Experimental	Foley et al. 2000	Solid-Melt		12-DEC-2000		
Basalt	Rutile	66	Dy				0.00076	Experimental	Foley et al. 2000	Solid-Melt		12-DEC-2000		
Basalt	Rutile	70	Yb	0.0093				Experimental	Foley et al. 2000	Solid-Melt		12-DEC-2000		
Basalt	Rutile	71	Lu	0.0124				Experimental	Foley et al. 2000	Solid-Melt		12-DEC-2000		
Basalt	Rutile	72	Hf	4.98				Experimental	Foley et al. 2000	Solid-Melt		12-DEC-2000		
Basalt	Rutile	73	Ta			8.82		Experimental	Foley et al. 2000	Solid-Melt		12-DEC-2000		
Basalt	Rutile	90	Th				0.54	Experimental	Foley et al. 2000	Solid-Melt		12-DEC-2000		
Tonalite	Rutile	23	V			118	124	Experimental	Foley et al. 2000	Solid-Melt		08-DEC-2008		
Tonalite	Rutile	25	Mn				0.34	Experimental	Foley et al. 2000	Solid-Melt		08-DEC-2008		
Tonalite	Rutile	37	Rb			0.0076	0.019	Experimental	Foley et al. 2000	Solid-Melt		08-DEC-2008		
Tonalite	Rutile	38	Sr			0.036	0.048	Experimental	Foley et al. 2000	Solid-Melt		08-DEC-2008		
Tonalite	Rutile	39	Y			0.076	0.459	Experimental	Foley et al. 2000	Solid-Melt		08-DEC-2008		
Tonalite	Rutile	40	Zr			3.07	3.79	Experimental	Foley et al. 2000	Solid-Melt		08-DEC-2008		
Tonalite	Rutile	41	Nb			136	540	Experimental	Foley et al. 2000	Solid-Melt		08-DEC-2008		
Tonalite	Rutile	56	Ba			0.0137	0.02	Experimental	Foley et al. 2000	Solid-Melt		08-DEC-2008		
